clipname,Eat,StandUp,SitDown,HugPerson,Kiss,SitUp,AnswerPhone,HandShake,FightPerson,DriveCar,Run,GetOutCar
actionclipautoautotrain00001,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00002,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00003,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00004,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
actionclipautoautotrain00006,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00007,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00008,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00010,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
actionclipautoautotrain00012,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00013,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00014,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
actionclipautoautotrain00016,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00017,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00018,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00020,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00021,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00022,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00023,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00024,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00025,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00026,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00027,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00028,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
actionclipautoautotrain00029,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00030,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00032,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00033,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
actionclipautoautotrain00035,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00036,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00037,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00038,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00039,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00040,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00041,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00042,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00043,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00044,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00045,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00046,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00047,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00048,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00049,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00050,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00051,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00052,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00053,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00054,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00055,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
actionclipautoautotrain00057,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00058,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00059,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1
actionclipautoautotrain00060,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00061,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00062,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00063,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00064,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00065,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00066,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00067,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00068,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00069,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00071,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00072,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00073,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00074,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00075,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00076,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00077,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
actionclipautoautotrain00078,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00079,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00080,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00081,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00082,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00083,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00084,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00085,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
actionclipautoautotrain00086,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00087,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00088,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00089,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00090,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00091,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00092,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00093,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00094,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00095,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
actionclipautoautotrain00096,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00097,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
actionclipautoautotrain00098,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
actionclipautoautotrain00099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00100,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00101,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00102,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00103,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00104,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00106,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00107,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00108,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00109,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00110,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00111,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00112,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00113,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00115,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1
actionclipautoautotrain00116,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
actionclipautoautotrain00119,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00121,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00123,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00124,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00126,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00127,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00128,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00129,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00130,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00131,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
actionclipautoautotrain00132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00134,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
actionclipautoautotrain00135,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1
actionclipautoautotrain00136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00137,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00138,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00139,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00140,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00141,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00144,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
actionclipautoautotrain00145,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00146,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
actionclipautoautotrain00147,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00148,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00150,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00152,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
actionclipautoautotrain00154,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00155,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00157,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00158,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00159,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00160,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00161,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00162,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00163,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00164,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00165,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00166,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
actionclipautoautotrain00167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00168,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00169,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00170,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00171,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00172,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00173,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00174,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00175,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00176,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00177,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00178,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00179,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00180,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00181,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00182,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00183,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00184,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00185,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00186,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00187,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
actionclipautoautotrain00188,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00189,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00190,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
actionclipautoautotrain00191,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00192,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00193,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00194,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00195,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00196,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00197,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00198,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00199,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00200,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00201,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00202,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00203,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00204,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00205,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00207,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00208,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
actionclipautoautotrain00209,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00210,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00212,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1
actionclipautoautotrain00213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00214,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00215,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00216,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00217,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00218,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00219,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
actionclipautoautotrain00220,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
actionclipautoautotrain00221,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00222,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00224,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
actionclipautoautotrain00225,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00226,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00227,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00229,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00230,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00231,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00232,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00233,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00234,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00235,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00236,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00238,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00242,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00243,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00245,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00246,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
actionclipautoautotrain00247,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00248,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00249,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00250,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00251,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00252,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00253,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00254,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00255,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00257,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00258,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
actionclipautoautotrain00259,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
actionclipautoautotrain00260,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
actionclipautoautotrain00261,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
actionclipautoautotrain00262,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
actionclipautoautotrain00263,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00265,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00266,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00267,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00268,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
